Vardas         Pavarde               ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      Egz.
Vardas69       Pavarde69               4         3         6         5         8         5         5         8         2         7
Vardas70       Pavarde70              10         8         9         3         3         3         7         2         8         3
Vardas71       Pavarde71               4         5         2         8         6         4         2         4         7         3
Vardas72       Pavarde72               1        10         3         9         1         2         5         7         7         7
Vardas73       Pavarde73               7         3         3         4         7         8         7        10         9         5
Vardas74       Pavarde74               8         2         3         3         1         6         6         8         1         9
Vardas75       Pavarde75               9         2         7         3         7         8         1         5         7         1
Vardas76       Pavarde76               6         4         2         2         8         1         9         1         3         4
Vardas77       Pavarde77               6         9         2         6        10         1         1         3         5         7
Vardas78       Pavarde78               8         1         9         7         3         8         5         4         7         9
Vardas79       Pavarde79               3         8         8         1         5        10         2         2         5         5
Vardas80       Pavarde80              10         2         1         3         2         8         5         4         2         7
Vardas81       Pavarde81               1         6         9         4         2         3         9        10         5         8
Vardas82       Pavarde82               5         6         1         8         1         5         9         3        10         7
Vardas83       Pavarde83               5        10         1         5         9         4         8         3         7         4
Vardas84       Pavarde84               8         7         9         4         1         5         9        10         1         1
Vardas85       Pavarde85               1         9         5         3         7         7         7         4         8         6
Vardas86       Pavarde86               3        10         3         2         5         4         7         7         8         7
Vardas87       Pavarde87               4         2         3        10         1         6         8         1         8         9
Vardas88       Pavarde88               5         6         7         9         3         4         4        10         7         6
Vardas89       Pavarde89               1         4         5         2         8         6         3         9         8         6
Vardas90       Pavarde90               2         6         2         6         9         1         7         9        10         2
Vardas91       Pavarde91               2         3         2         5         7         6         7         6         4        10
Vardas92       Pavarde92               7        10         9         4         6        10        10         2        10         8
Vardas93       Pavarde93               8        10         4         8         8         6         5         3        10         3
Vardas94       Pavarde94               5         6         9         6         6        10        10        10         8         9
Vardas95       Pavarde95               7         3         7         5         4         1         8         8         2         1
Vardas96       Pavarde96               5        10        10         3        10        10         2         8         3        10
Vardas97       Pavarde97               9         8         4        10         5         9        10         1        10         6
Vardas98       Pavarde98               9         7         9         7         5        10         1         6         3        10
Vardas99       Pavarde99               6         9         4         1         5         2         7        10         9        10
Vardas100      Pavarde100              6         7         5         1         9         7         1         3         3         9
Vardas101      Pavarde101              4         8         9         3        10         8         6         4         7         2
Vardas102      Pavarde102              9         4         7         7         2         3         9         2         8         8
Vardas103      Pavarde103              9         1         8         4         5        10         7         9         3         9
Vardas104      Pavarde104              2         2         6         1         6         8         9         9         8         9
Vardas105      Pavarde105              2         7         3         5         3         8         6         9         8         9
Vardas106      Pavarde106              7         8         7         9         5         5         3         5         6         4
Vardas107      Pavarde107             10         3         2         5         4        10         7         6         6         6
Vardas108      Pavarde108              6         9         5         7         5         5         2        10         6         9
Vardas109      Pavarde109              8        10         4         3         8         7        10         2         9         4
Vardas110      Pavarde110              6        10         2         2        10         6         3         4         6         9
Vardas111      Pavarde111              1         6         3        10         6         2        10         3         4         4
Vardas112      Pavarde112              7         1         2         8         3        10         6        10         9         9
Vardas113      Pavarde113             10         3         4         6         7        10         4         1         5         3
Vardas114      Pavarde114              1         6         9         1         3         4         2        10        10         1
Vardas115      Pavarde115              4         8         1         7         5         3         6        10         7         2
Vardas116      Pavarde116              5         8         9         1         5         4         6         4         2        10
Vardas117      Pavarde117              3         1         9         6        10         6         6         3         9         9
Vardas118      Pavarde118              2         5         8         7         5        10         1        10         7         2
Vardas119      Pavarde119              9        10         3         9         3         9         5         4         1        10
Vardas120      Pavarde120             10         5         2         9         2         9         7         4         7         1
Vardas121      Pavarde121              2         6         5         9         9         2         5         2         6         9
Vardas122      Pavarde122              7         8         6         1         1        10         9         4         6         4
Vardas123      Pavarde123              5         4        10         4         8         7         7         1         7         7
Vardas124      Pavarde124              4         5         7        10        10         4         7         8         6         2
Vardas125      Pavarde125              8         8         7         5         3         9         9         6         1         5
Vardas126      Pavarde126              6         9        10         3        10         5         1         7         7        10
Vardas127      Pavarde127              8         9         9         4         4         9         5         3         4         8
Vardas128      Pavarde128              7        10         7         1         9         1         4         3         2         4
Vardas129      Pavarde129              4         8         7         1        10         8         1         8         5         2
Vardas130      Pavarde130              6        10         1         3         4         2        10         8         5         1
Vardas131      Pavarde131              7         9         4         1         4         4        10         3         5        10
Vardas132      Pavarde132              9         7         3         1         8         9         5        10         8         9
Vardas133      Pavarde133              4         8         9         8         9         5         4         2         1         1
Vardas134      Pavarde134              3         4        10         5         5         1         2         4         6         8
Vardas135      Pavarde135              1         6         8         7         5         9         3         1         4         5
Vardas136      Pavarde136              8         3         4         5         8        10         4         5         5         7
Vardas137      Pavarde137              7         3         6         4         1        10         9         9         4         9
Vardas138      Pavarde138              8         6         8         8         2         7         6        10         7         5
Vardas139      Pavarde139              7         1         4         6         8         5         8         2        10        10
Vardas140      Pavarde140              2         1         2         5         3         6         7         2         6         2
Vardas141      Pavarde141              7         3         2         3         7         6         5         4        10         6
Vardas142      Pavarde142              3         3         3         4         4         6         3         3         5        10
Vardas143      Pavarde143              1         6         6        10        10         1         8         7         5         5
Vardas144      Pavarde144             10         5         8         7         5         1         6         8         3        10
Vardas145      Pavarde145              2         8         1         5         9         7         1         1         1        10
Vardas146      Pavarde146             10         1         8         6         6         2         2         1         8         2
Vardas147      Pavarde147              8         6         8        10         9         5         8         6         4         9
Vardas148      Pavarde148              7        10         3         5         4         7         8         3         7         9
Vardas149      Pavarde149             10         1         2         3         4         4         3         2         9         1
Vardas150      Pavarde150              9         7         9        10         6         3         5         2         1         4
Vardas151      Pavarde151              5         9         7         1         6         9         3         1         7         5
Vardas152      Pavarde152              7         6         9         4         8         5         1         6         2         2
Vardas153      Pavarde153              1         8         6         9         5         6         8        10         3         8
Vardas154      Pavarde154              2         2         4         3         1         9         5         3         5         5
Vardas155      Pavarde155              7         9         6         7         5         3         4         3         5         5
Vardas156      Pavarde156              6         1         7         2         3         7         6         4         3         9
Vardas157      Pavarde157              4         1         7         3         4         3         6         5         5        10
Vardas158      Pavarde158              8         1         9         6         3         3         2         6         7         5
Vardas159      Pavarde159              6         6         3         5         5         3         8         5         8         1
Vardas160      Pavarde160              7        10         7         4         9         5         5         3         4         3
Vardas161      Pavarde161              2         6         7         7         6        10         1         7         3         5
Vardas162      Pavarde162              4        10         1         8         6         2         7         7         2         1
Vardas163      Pavarde163              4         7        10         6         2         7         4         3         6         9
Vardas164      Pavarde164              7        10         6         1         3         4         4         9         7         2
Vardas165      Pavarde165              1         1         2         7        10        10         7         3        10         5
Vardas166      Pavarde166             10         6         8         7         5         1         9         5         9         4
Vardas167      Pavarde167              8        10         1         1         3         8         7         8         5         3
Vardas168      Pavarde168              8         8         2         4        10         7         5         9         2         8
Vardas169      Pavarde169              2         8         1         6        10         5         1         3         3         8
Vardas170      Pavarde170              9         2         1         1         4         4         4        10         4        10
Vardas171      Pavarde171              3         3         5         5         6         7         1         3         8         9
Vardas172      Pavarde172              2         7         8         7         8         8         9         6         3         4
Vardas173      Pavarde173              9         3         5         3         1         5        10         5         9         8
Vardas174      Pavarde174              6         8         6         9         2         6         8         2         5         5
Vardas175      Pavarde175              6         6         1         5         6        10         3         2         9         4
Vardas176      Pavarde176             10         2         4         2         4         3         9         4        10         8
Vardas177      Pavarde177              2         6         3         3         1         3         7         6         9         3
Vardas178      Pavarde178              3         7         7         2         3         6         5         4         5         5
Vardas179      Pavarde179              3         8         4         4         2         8         7         7         8         9
Vardas180      Pavarde180              5         4         9         6         5         7         8         3         8         4
Vardas181      Pavarde181              3         8         3         5         9         8        10         2         5         8
Vardas182      Pavarde182              4         6         8         3         6         5         2         8         3         7
Vardas183      Pavarde183              4         3         4         4         5         6         5         3        10         4
Vardas184      Pavarde184              2         8         4         2         3         5         4         5         1         6
Vardas185      Pavarde185              8         1        10         9         2         6         8         7         1        10
Vardas186      Pavarde186              6         5        10         4         3         1         6         6         9        10
Vardas187      Pavarde187              3        10         4         5         9        10         1         1         3         3
Vardas188      Pavarde188              2         8        10         7         9         9         2         2         7         7
Vardas189      Pavarde189              2         5         6        10        10        10        10         2        10         8
Vardas190      Pavarde190              9         6         9         2         4         3         7        10         3         9
Vardas191      Pavarde191              1         1         8         3         1         7         1         1         3         5
Vardas192      Pavarde192              3         5        10         1         5         2         4         4         4        10
Vardas193      Pavarde193              3        10         4         3         7         5         2         9        10         4
Vardas194      Pavarde194              2         3         3        10         3         7         9         5        10        10
Vardas195      Pavarde195             10         7         1         6         5         4         4         9         6         5
Vardas196      Pavarde196              6        10         8         2         3         7         2         8         6         8
Vardas197      Pavarde197             10        10         6         7         3         8         7         7         1         1
Vardas198      Pavarde198              1         5         6         6         4         3         6        10         1         8
Vardas199      Pavarde199              5         1         3         3         3        10         1         4         7         7
Vardas200      Pavarde200              9         2         6         7         2         9         3        10         2         5
Vardas201      Pavarde201              5         5         8         9        10         1         4         4        10         1
Vardas202      Pavarde202              4         2         9         6         8         4         7         2         9         7
Vardas203      Pavarde203              1         6         6         3         6         5         6         7         2         8
Vardas204      Pavarde204              3         3         9         6         4        10         7         7         2         2
Vardas205      Pavarde205              1         1         8         4         9         3         6         3         8         4
Vardas206      Pavarde206              5         7         3         8         6         2         9         5         4         1
Vardas207      Pavarde207              4         2         2         3         2         1         2         2         6         2
Vardas208      Pavarde208              8         5         1         6         6         2         8        10         8         7
Vardas209      Pavarde209             10        10         9         3         4         2         2         6         6         3
Vardas210      Pavarde210              1         5         2         7         1         5         9         2         7         2
Vardas211      Pavarde211              1        10         9         1         6         1         9         3         5         6
Vardas212      Pavarde212              4         7         5         3         8         3         3         2         7         9
Vardas213      Pavarde213              6         3        10         3         4        10         1         3        10         1
Vardas214      Pavarde214              7        10         8         2         6         7        10         4         2         6
Vardas215      Pavarde215              6         3         8         4         3        10         3         4         6         5
Vardas216      Pavarde216              8         2         3         4         9        10        10         9         1        10
Vardas217      Pavarde217              5         1         4         2         8         2         3         2         7         7
Vardas218      Pavarde218              2         3         4         4         5         7         7         5         4         1
Vardas219      Pavarde219              3         5         3         3         8         7         4         5         7         7
Vardas220      Pavarde220             10         9         8         1         2         4         4         9         1         8
Vardas221      Pavarde221              1         9         4        10         4         4         2        10         7         7
Vardas222      Pavarde222              9         9         7         5         5         3         5         8         5        10
Vardas223      Pavarde223              8         3         8         2         9         8         1         2         2        10
Vardas224      Pavarde224              4         5         5         7         2         9         8         2         3        10
Vardas225      Pavarde225              7         9         3         6         6         6         6         9         3         5
Vardas226      Pavarde226              4         1         1         3         8         4        10         7         2         3
Vardas227      Pavarde227              8         3         5         5         4         4         5        10         7         4
Vardas228      Pavarde228              9         3        10         3         1         9         8         5         6         2
Vardas229      Pavarde229              6         5         8         9         3         8         6         6         2         6
Vardas230      Pavarde230              8        10         6        10         9         4         8         6         1         7
Vardas231      Pavarde231              9         2         1         2         7         5         9         7         4         7
Vardas232      Pavarde232              7         5         8         6         6         6         5         3         8         6
Vardas233      Pavarde233              8         6         9         3         6         6         7         2         2        10
Vardas234      Pavarde234              1         7         4         1         9         4         1        10         2        10
Vardas235      Pavarde235              5         3         1         5         8         7         5        10         1         5
Vardas236      Pavarde236              9         8         4         5         6         2         1         9         5         7
Vardas237      Pavarde237              5         4         5         6         1         6         4         6         4         6
Vardas238      Pavarde238              3        10         4         9        10         1         6         5         2        10
Vardas239      Pavarde239              6         4         3         1         9         1         1         3         9         4
Vardas240      Pavarde240              6        10         8         5         2         3         2         1         5         4
Vardas241      Pavarde241              7         5         4         3         1         5         3         4         8         9
Vardas242      Pavarde242              2         9         8         6         3         3         7         3         1         2
Vardas243      Pavarde243              9         5         1        10         9         2         6         4         3         8
Vardas244      Pavarde244              6        10         2        10         4         5         2         2         9         9
Vardas245      Pavarde245              4         3         6         9         5         3         6         8         9         8
Vardas246      Pavarde246             10         8         4         5        10         9         1         5         1         2
Vardas247      Pavarde247              6         5        10         2        10         7         3         8         8         5
Vardas248      Pavarde248              5         8         1         5         1         2        10         4         1        10
Vardas249      Pavarde249              2         4         1         1         7         5        10        10         7        10
Vardas250      Pavarde250              5         8         7         9         6         1         7        10         3        10
Vardas251      Pavarde251              4         1         8         5         4         1         2         9         2         4
Vardas252      Pavarde252              5         3         2         6         6         7         5         9         5         5
Vardas253      Pavarde253              4         6         5         6         6         8         4         7         5         1
Vardas254      Pavarde254              9         6         1         7         9         6        10        10         3        10
Vardas255      Pavarde255              2         5         7         6         2        10         8         5         4         3
Vardas256      Pavarde256              2         5         2        10         3         8         1         7         8         6
Vardas257      Pavarde257              1         9         8         8         6         4         3        10        10         3
Vardas258      Pavarde258              8         3         9         2         1         9         4         7        10         2
Vardas259      Pavarde259              5         3         9         4         4        10         7         2         7         9
Vardas260      Pavarde260              9         7         7         1         7         5         4         8        10         4
Vardas261      Pavarde261              4         9         7         5         5         3         2         5         8         7
Vardas262      Pavarde262             10        10         1         8         2         6         1         4         2         3
Vardas263      Pavarde263              3         3         3         1         8         4         8         5         7        10
Vardas264      Pavarde264              4         5         6         1         7         4         7         5         1         7
Vardas265      Pavarde265              1         1         9         8         1         3         5         1         9         9
Vardas266      Pavarde266              7         6         7        10         4         8         3         3         4         6
Vardas267      Pavarde267              2         7         8         4         8        10         7         8         1         3
Vardas268      Pavarde268              8         5        10         6         2         9         7        10         6         4
Vardas269      Pavarde269              4         8         3         6         6         8         4         1         8         5
Vardas270      Pavarde270             10         5         2         4         6        10         8         6         9         4
Vardas271      Pavarde271              8         7         4         8         4         3         9         1         1         1
Vardas272      Pavarde272              3        10         3         8         5         2         2         7         3         5
Vardas273      Pavarde273              6         7         5         2         8         6         1         3         3         7
Vardas274      Pavarde274              7        10         7         8         9         2         4         8         6         5
Vardas275      Pavarde275              2         9         4         4         3         1         5         3         7         4
Vardas276      Pavarde276              4         4         6         1        10         8         7         4         5         9
Vardas277      Pavarde277              6         6         7        10         9         1         6         3         4         8
Vardas278      Pavarde278              2         1         2         6         2         2         2         2         8         6
Vardas279      Pavarde279              3         6         1         4         4         4         6         4         7         5
Vardas280      Pavarde280              4         2         4         9         2         9         2         7         5         2
Vardas281      Pavarde281              3         3         4         8         5         6        10         7         7         6
Vardas282      Pavarde282              2         2         9         3         7         6         8        10         5         5
Vardas283      Pavarde283              9         2         9         8         9         7         7         6         6         4
Vardas284      Pavarde284              1         7         7         1         2        10         5         8         8         1
Vardas285      Pavarde285              9        10         8         6         2         6         1         4         6         7
Vardas286      Pavarde286              3        10         1         1         7         9         5         1         5         7
Vardas287      Pavarde287              1         6        10         2         3         2         1        10         6         5
Vardas288      Pavarde288              3         8         2         8         8         4         6         4         9         9
Vardas289      Pavarde289              8         6         2         1         1         3         4         7         6         1
Vardas290      Pavarde290              9         2         5         7         6         9        10         3         7         7
Vardas291      Pavarde291              2         3         1         9         9         3         7         2         1        10
Vardas292      Pavarde292              2         3        10         2         2         5         1        10         2         9
Vardas293      Pavarde293              2         8         6         4         2         3         8         6         5         9
Vardas294      Pavarde294              5         7        10         8         6        10        10         8         9         3
Vardas295      Pavarde295             10         8         5         5         6         6         9         5         1         8
Vardas296      Pavarde296              4         7         4         5         2         4         9         7         7        10
Vardas297      Pavarde297              1         2         6         7         5         8         6         5         2         5
Vardas298      Pavarde298              5         8         8         5         2         3        10         9         1         9
Vardas299      Pavarde299              5         6         5         5         3         1         8        10         2         4
Vardas300      Pavarde300              6        10         8         4         3         2         8         2         5         4
Vardas301      Pavarde301              6         3         7         1         7         6         9         9         9         5
Vardas302      Pavarde302              2         9         9         7         4         9         4         4         6         8
Vardas303      Pavarde303              4         7         2         1         3         1         4         6         9         5
Vardas304      Pavarde304              3         6         8         2         4         1         1         3         7         8
Vardas305      Pavarde305              7         2         2        10        10         6         3         2         9         5
Vardas306      Pavarde306              6         8         9         8         3         9         5         9         4         2
Vardas307      Pavarde307             10         8         8        10         2         3         2         1         1         9
Vardas308      Pavarde308              9         3         7         6         9         4         2         9         7         2
Vardas309      Pavarde309              2         9         7         5         1         1         4         3         7         1
Vardas310      Pavarde310              2         4         9         2         6         2         1         6         3         8
Vardas311      Pavarde311              7         4        10         9         5        10         1         9         8         2
Vardas312      Pavarde312              9         8         2         2         3         2        10         7         9         3
Vardas313      Pavarde313              9         2         4         9         4         7         6         9         5         3
Vardas314      Pavarde314              2         9         5        10         1         5         4         1         7         8
Vardas315      Pavarde315              8         8         9         2        10         7         7         5         1         7
Vardas316      Pavarde316              5         5         4         6         2         6        10         9         3         4
Vardas317      Pavarde317              5         4        10         7         7         4         8         2         6         4
Vardas318      Pavarde318              5         5         8         8         6         3         4         7         8        10
Vardas319      Pavarde319              7         3         5         9         6         9        10         4         7         3
Vardas320      Pavarde320              5         1        10         7         2         4         4         9         7         5
Vardas321      Pavarde321              4         3         7         8         8         7         7        10         4         6
Vardas322      Pavarde322              3         3         2         6         8         6         7        10         8         2
Vardas323      Pavarde323              6         2         2         9         6         5         2         6         6         6
Vardas324      Pavarde324              6         4         4         2        10         6         4         2         3         3
Vardas325      Pavarde325              8         1        10         3         1         2         4         5         4         1
Vardas326      Pavarde326              6        10         5         2         5         3         4         1         2         6
Vardas327      Pavarde327              8         6         1         7         1        10         7         4         7         4
Vardas328      Pavarde328              5         8         6         2         2         4        10         9         5         4
Vardas329      Pavarde329              1         2         8         4         4         8         7         9         6         7
Vardas330      Pavarde330              3         5         9         5         3         1        10         2         2         2
Vardas331      Pavarde331              8         9         6         5         9         1         2         9         2         7
Vardas332      Pavarde332             10         5         9         3         9         2         7         2         6         3
Vardas333      Pavarde333             10         9         6         9         4         6         6         1         7         2
Vardas334      Pavarde334             10         4         7         5         3        10         6         7         3         8
Vardas335      Pavarde335             10         4        10         8         7         2         4         3         1         5
Vardas336      Pavarde336              3         5         9         3        10        10        10         9         8         9
Vardas337      Pavarde337              6         6         3         1         2         6         1         8         9         7
Vardas338      Pavarde338              7         2        10        10        10         2         2         1         8        10
Vardas339      Pavarde339              7         6         1         1         3         9         7         9         8         7
Vardas340      Pavarde340              6         9         2         2         9         1         6         3        10         9
Vardas341      Pavarde341              5         5         9         1         8         5         5         3         8        10
Vardas342      Pavarde342              6         3         3         1         4        10         4         6         4         4
Vardas343      Pavarde343              1         2         8         5        10         8         5         3         3         5
Vardas344      Pavarde344              3         6         1         7         6         9         3         6         5         5
Vardas345      Pavarde345              4         8         6         5         3         7        10         9         8         8
Vardas346      Pavarde346              7        10         6         4         2         5         3         1         5         1
Vardas347      Pavarde347              9         4         7         8         9         1         1         8         3        10
Vardas348      Pavarde348              8         6         8         3        10         7         5         9         6         4
Vardas349      Pavarde349              6        10         1         8         6         4         3         6         3         2
Vardas350      Pavarde350              4         9         7         6         9         8         5        10        10         5
Vardas351      Pavarde351              5         2         4         9         6         4         1         5         6         5
Vardas352      Pavarde352              9         8         5         9         2         7         3         6         6        10
Vardas353      Pavarde353              9         4         4         3         9         8         5        10        10         2
Vardas354      Pavarde354              6         5         8         4         5         2         7         7         6         3
Vardas355      Pavarde355              3         7         2         7         4         5         8         3         2         8
Vardas356      Pavarde356             10        10         4         4         3         5         9         6         7         5
Vardas357      Pavarde357              5         6         5        10         5         7         6         6         3         8
Vardas358      Pavarde358              2         7         2        10         5         1        10         8         7         8
Vardas359      Pavarde359              6         6         7        10         5         7        10         5         2         4
Vardas360      Pavarde360              3         1         4         5         1         8         5         4        10         9
Vardas361      Pavarde361              3         2         1         4         4         6         4        10        10         9
Vardas362      Pavarde362              8         2         2         3         8         9        10        10         3         6
Vardas363      Pavarde363              6         6         2         8         9         1         1         2         7         2
Vardas364      Pavarde364              4         5         5         7         8         4         9         9         4         2
Vardas365      Pavarde365             10         6         4         2         9         3         5         1         5         1
Vardas366      Pavarde366              4         4         3         7         9         1         2         5         7         1
Vardas367      Pavarde367              3         4         1         3         9         6         6         4         4        10
Vardas368      Pavarde368              2        10         6         9         4         5        10         9         6        10
Vardas369      Pavarde369              4         2         4         6         4         3         9        10         5         2
Vardas370      Pavarde370              9         8         6        10         8         4         9         5         8         8
Vardas371      Pavarde371              2         3         4         9         8         8         1         8        10         7
Vardas372      Pavarde372              1        10         3         8         9         4         6        10         5         3
Vardas373      Pavarde373              5         8         8         5         3         8        10         2         4         6
Vardas374      Pavarde374              3         3         9        10         5         8         8         8         1         1
Vardas375      Pavarde375              4         8         3         3         4         8        10         9         2         4
Vardas376      Pavarde376              8         1         1         5         5         4         2         3         8         4
Vardas377      Pavarde377              6         8        10         8         2         9         3         6         9         4
Vardas378      Pavarde378              9        10         7         1         5         7         4        10         5         2
Vardas379      Pavarde379              3         7         9         1         6         9         6         6         2         4
Vardas380      Pavarde380              2        10         2         7         3         8         7        10         3         6
Vardas381      Pavarde381              4         9         6         5         4         9         3         5        10         3
Vardas382      Pavarde382              5         3         4         2         4         6         2         1         5         3
Vardas383      Pavarde383              8         4         9        10         6         4         8         1         6         6
Vardas384      Pavarde384              4         3         2         3         4         6         7         7         7         2
Vardas385      Pavarde385              7         8         5         6         8        10         1         3         4         7
Vardas386      Pavarde386              7         5        10         7         9         4         5         5         5         5
Vardas387      Pavarde387              2         1         3         6         7         7        10         7         3         1
Vardas388      Pavarde388              2         1        10         3         8         5         8         2         5         3
Vardas389      Pavarde389             10         4         3         8         9        10         8         4        10         1
Vardas390      Pavarde390              7         9         8         8         8         3         7         9         1         3
Vardas391      Pavarde391              2         3         9         5         4         6         4         9         6         9
Vardas392      Pavarde392              1         8         1         9         6         6         2         6         7         9
Vardas393      Pavarde393              2        10         9         4         7        10         5         9         6         2
Vardas394      Pavarde394              1         7        10         8         8         3         2         7         8         7
Vardas395      Pavarde395              4         6         6         2         4         8         1         6         1         5
Vardas396      Pavarde396              6         3         4        10         1         1         8        10         7         5
Vardas397      Pavarde397              8         4         5        10         3         3         4        10         6         8
Vardas398      Pavarde398              6        10         3         5         2         5         7         6        10         5
Vardas399      Pavarde399              7        10        10         5         3         8         6         7         2         1
Vardas400      Pavarde400              3         3         6         5         6         2         9         7         8         8
Vardas401      Pavarde401              5         6         8         6         4         4         1         4         4         1
Vardas402      Pavarde402              5         5         5         3         2        10         2         5         2         3
Vardas403      Pavarde403              5         1         8         7         3         8         1         4         9         2
Vardas404      Pavarde404              1         7         6         2         2         8         3         7        10         9
Vardas405      Pavarde405             10         1        10         8         3         1        10         5         4         7
Vardas406      Pavarde406              6         9         6         1         9         5         3         4        10         8
Vardas407      Pavarde407              5        10         1         4         7         8         7        10         6        10
Vardas408      Pavarde408              5         2        10         9         8         4         7         1         4         9
Vardas409      Pavarde409              8         8         4         5         6         7         9         7         4         6
Vardas410      Pavarde410              2         1        10         7        10         4         2         4         3         7
Vardas411      Pavarde411              5         3         5         3         1         4         1         2        10         8
Vardas412      Pavarde412              1         2        10         1         4         6         9         6         2         2
Vardas413      Pavarde413              3         4         3         6         1         3         5         1         2         9
Vardas414      Pavarde414              9         7         8         7         9         2         2         2         3         7
Vardas415      Pavarde415              1         1         5         5         5        10        10         4        10         1
Vardas416      Pavarde416              4         6         6         5         1         8         8         9         2        10
Vardas417      Pavarde417              3        10         6         8         1         2         5         6         4         8
Vardas418      Pavarde418              5         3         4         3         9         1         4        10         7         9
Vardas419      Pavarde419              2         8         7        10         3         1         6        10        10         4
Vardas420      Pavarde420              6         7         6         3         2         8         8         2         5         9
Vardas421      Pavarde421              9         6         3         7         6         2         2         7         1         2
