Vardas         Pavarde               ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      Egz.
Vardas100      Pavarde100              2         3        10         2         7         2         4         8         4         8
Vardas101      Pavarde101              8         3         8        10         2         9         6        10         8         8
Vardas102      Pavarde102              5         1         6         1         1         6         2         6         6         8
Vardas103      Pavarde103              1         9        10         6        10         9         9         1         8         2
Vardas104      Pavarde104              7         4         2         5         8         8         5         1         3         4
Vardas105      Pavarde105              1        10         3         4         8         3         4         4         7         4
Vardas106      Pavarde106              8         1         4         1         6         5        10         8         1         4
Vardas107      Pavarde107              3         7         9         7         3        10         9        10         4         4
Vardas108      Pavarde108             10         9         9         4         4        10         5         7         1         9
Vardas109      Pavarde109              5         9         3         4         7         1         1        10         9         4
Vardas110      Pavarde110              2         4         1         6         7         6         3         3         4         3
Vardas111      Pavarde111             10         4         1         9         7         5         4         1         7         7
Vardas112      Pavarde112              2         2         8         9         5         4         3         8         2         8
Vardas113      Pavarde113              2         1         5         8         1         5         8         8         7         5
Vardas114      Pavarde114              1         4         3         7         2         7         1         8         8         9
Vardas115      Pavarde115              8         5         7        10         6         1         5         2         1        10
Vardas116      Pavarde116              5         2         6         5        10         2         9         2         3         9
Vardas117      Pavarde117              4         6        10         6        10         4         9         7         2         8
Vardas118      Pavarde118              4         8         1         4         7         6        10         9         2         1
Vardas119      Pavarde119              8         7        10         6         2         5         8         4         4         9
Vardas120      Pavarde120              6         3         5         1         2         2        10         6        10         4
Vardas121      Pavarde121              6         7         3         1         4         3         5         3         5         5
Vardas122      Pavarde122              3         9         7         4         4         1         5        10         5         8
Vardas123      Pavarde123              6         8         5         2         1         1         1         8         3        10
Vardas124      Pavarde124              2         2         9         1         1         5         8         1         1         9
Vardas125      Pavarde125              9        10        10         6         7         9         6         2         4         7
Vardas126      Pavarde126              7         1         9         8        10         7         3         2         9         7
Vardas127      Pavarde127              1         9         8         3         2         4         1         2         6         9
Vardas128      Pavarde128              7         6         4         7         7         2         3         2         1         1
Vardas129      Pavarde129              5         9         3        10         7        10        10         6         3         4
Vardas130      Pavarde130              9         4        10         7         8         7         9         8         6         8
Vardas131      Pavarde131              2         6         5         5         7         7         6         3         9         3
Vardas132      Pavarde132              4         3         8         8         8         8         8         1         8        10
Vardas133      Pavarde133              8        10         5         7         6         3         9         7         6         7
Vardas134      Pavarde134              1         7         6         7         2         5         4        10         7         1
Vardas135      Pavarde135              6        10         6         8         6         5        10         3         2         4
Vardas136      Pavarde136              1         7         9         3         4         1         4         4         5         5
Vardas137      Pavarde137              2         4         7         6         4         9         5         9         5         9
Vardas138      Pavarde138              6         7         2         1         8         1         9         9         2         3
Vardas139      Pavarde139              7         6         6         6         9         2         6         2         8         1
Vardas140      Pavarde140             10         8         9         1         4        10         6         9         7         6
Vardas141      Pavarde141              2         3        10         1         8         3         4         8        10         4
Vardas142      Pavarde142              4         9         6         9         8         5         8         3         2         1
Vardas143      Pavarde143             10         7         2         1         4         5         9         6         7         8
Vardas144      Pavarde144              8         6         3         6        10         2        10         5         3         4
Vardas145      Pavarde145              5         9         8         9         5         4         4         1         5         9
Vardas146      Pavarde146              9         8         3        10         8         5         8         2         2         9
Vardas147      Pavarde147              1        10         5         4         9         9         1        10         8         5
Vardas148      Pavarde148              8         8         2         6         2         6         9         6         4         7
Vardas149      Pavarde149              7         3         1         5         3         3         4         8        10         7
Vardas150      Pavarde150              3         5         1         7         4         8         5         1         4         3
Vardas151      Pavarde151             10         9         6         5         2         8         6         7         7         6
Vardas152      Pavarde152              6         5         9         5         5         3         7         3         8         7
Vardas153      Pavarde153             10         3         8         5         1        10        10         6         8         8
Vardas154      Pavarde154              2         3         4         4         9         9         3         8         8         4
Vardas155      Pavarde155              3         5         5         8         1         3         6         8         6         6
Vardas156      Pavarde156              4         8         7         3         2         7         1         9        10         7
Vardas157      Pavarde157             10         7        10         4         7         1         6         6         8         3
Vardas158      Pavarde158              8         6         3         3         9         6         9         5         8         9
Vardas159      Pavarde159              9         3        10         8         3         4         7         9         4         3
Vardas160      Pavarde160              5         6         9        10        10         3         2         9         6         2
Vardas161      Pavarde161              8         9         8         6         5         8        10         1         5         7
Vardas162      Pavarde162              3         9         9         7         2         5         1        10         7         8
Vardas163      Pavarde163              2         6         2         2         5         4         8         2         9         2
Vardas164      Pavarde164              1         4         6         2        10         7         5        10         6         8
Vardas165      Pavarde165              6         3         9         9         5         1         9        10         9         7
Vardas166      Pavarde166              7         5        10         2         5         6         4         9         2         1
Vardas167      Pavarde167              5        10         5         1         2         7         1         5        10        10
Vardas168      Pavarde168              5         1         6         2         6         2         8         2         1        10
Vardas169      Pavarde169             10         6         9         4        10        10         2         3         9         9
Vardas170      Pavarde170              2         2         6         6         9         7        10        10        10         1
Vardas171      Pavarde171              6         7         3         4        10         3         5         3         1         4
Vardas172      Pavarde172              9         3         3         2         2         5         1         2         2         6
Vardas173      Pavarde173              2         4         3         6         6         1        10         8         2         8
Vardas174      Pavarde174              4         2         1         8         9         2         4         8         8         9
Vardas175      Pavarde175              4         1         3         5         4         3         2         8         1         5
Vardas176      Pavarde176              5         1         4         8         5        10         9         3         9         5
Vardas177      Pavarde177              5         2         4         5         2         7        10         3         7         9
Vardas178      Pavarde178              3         6         8         8         9         8         4         3         9         4
Vardas179      Pavarde179              7        10         1         6         3         7         8         8         5         2
Vardas180      Pavarde180              8         1         4         4         2         5         1         7         4         8
Vardas181      Pavarde181             10         5         3         8         4         5         3         9         3         4
Vardas182      Pavarde182              1         7         4         1         5        10         6         6         5         9
Vardas183      Pavarde183              4         9         1         4         8         7         2         9         7         8
Vardas184      Pavarde184              8         4         9         8         6         1         4         9         2         2
Vardas185      Pavarde185              2         2         4         8         2         7        10         9         9         9
Vardas186      Pavarde186              8        10         7         9         9         1         5         9         8         7
Vardas187      Pavarde187              3         4         8         7         2         1         1         3         2         1
Vardas188      Pavarde188              8        10         4         9         6         6         3         4         7         9
Vardas189      Pavarde189              8         1         5         5         8         8         3         2        10         7
Vardas190      Pavarde190              6         6         7         6         8         8         7         9         8         9
Vardas191      Pavarde191              8         5         7         8         4        10         6         9         9         1
Vardas192      Pavarde192             10         3        10         4         1         4         3         9        10         5
Vardas193      Pavarde193             10         7        10         4         3         2         1         9         1         2
Vardas194      Pavarde194              4         9         4        10         4         9         1         9         9         8
Vardas195      Pavarde195              3         1         8         2         3         2         9         6        10         1
Vardas196      Pavarde196              4         6        10         9         5         9         9        10         6         7
Vardas197      Pavarde197              5         2         1         7         4         8         4        10         9        10
Vardas198      Pavarde198              3         4         4         9         2         9         9         3         1         1
Vardas199      Pavarde199              3         5         4         9         6         1         2         5         3         3
Vardas200      Pavarde200              8         9         3         8         6         6         9         5        10         9
Vardas201      Pavarde201              1         9         8         8         6         4         4         6         3         9
Vardas202      Pavarde202              1         4         3         4         4         3         1         6         1         8
Vardas203      Pavarde203              9         1         4         9         2         7         6         9        10         1
Vardas204      Pavarde204              5         4         6         7         4         5         3         1         3         4
Vardas205      Pavarde205              9         8         7         1        10        10         6         6        10         2
Vardas206      Pavarde206              8        10         1         1         6        10         5         4         7         7
Vardas207      Pavarde207              5         2         5         2        10         3         6         9         5         4
Vardas208      Pavarde208              7         8         9         2         9        10         2        10        10         5
Vardas209      Pavarde209              5         3         3         8         6         8         6         7         7         2
Vardas210      Pavarde210             10         3         1         4         7         2         9         3         5         4
Vardas211      Pavarde211              3         6         5         4         2         7         8         9         4         7
Vardas212      Pavarde212              6         4         8         8         8         6         8         3         6         8
Vardas213      Pavarde213              4         7         1         9         5         5         5         7         3         8
Vardas214      Pavarde214             10         3         7        10         3         2         9         6         9         3
Vardas215      Pavarde215              9         1         3         8        10         1         7         3         7        10
Vardas216      Pavarde216              3         2         2         8         6         9         1        10         1         4
Vardas217      Pavarde217              2         3        10         8         6         2         9         7         3         1
Vardas218      Pavarde218              2         6         6         7         7         1         2         3        10        10
Vardas219      Pavarde219              8         3         5         5         4         4         8         6         6         4
Vardas220      Pavarde220              2         8         8         8         3         1         5         4         2        10
Vardas221      Pavarde221              3         5         4         1         2         3         7         2         6        10
Vardas222      Pavarde222              4         3         7         7         9         2         9         7         7         1
Vardas223      Pavarde223              7         8         8        10         8         5         6         5         9         1
Vardas224      Pavarde224              5         2         8         6         2         8         9         3         7         8
Vardas225      Pavarde225              6         1         6         4         6         9         5         3         8         8
Vardas226      Pavarde226              8         4         7         6         2         1         9         3         9         2
Vardas227      Pavarde227              5         5         6         9         5         5        10         5         9        10
Vardas228      Pavarde228              7         6         2         1         6         9         9         7         9         7
Vardas229      Pavarde229              1         1         9         3         9         8         6         3         1         9
Vardas230      Pavarde230             10         2         7        10         9        10         6         3         5         2
Vardas231      Pavarde231              2         6         4         6         2         4         3         5         3         6
Vardas232      Pavarde232              1         9         9         4         8         6         1         7         7         8
Vardas233      Pavarde233              9         6         9         8         4         5         2         7         8         4
Vardas234      Pavarde234             10        10         2         5         9         5         4        10         2         9
Vardas235      Pavarde235             10         8         5         8         2         6         6        10         6         9
Vardas236      Pavarde236              1         4         2         5         8         2        10         3         8         3
Vardas237      Pavarde237              3        10         6         8         1         9         8         4         6         8
Vardas238      Pavarde238              2         8         3         8         4         1         9         5         4         1
Vardas239      Pavarde239              9         4         8         1         5         5         1         1         3         2
Vardas240      Pavarde240              8         3        10        10         6         7         1         5         7        10
Vardas241      Pavarde241              8         7         6         5         6         2        10         7         2         9
Vardas242      Pavarde242              4         9         4         5         6         6         3         2         5         3
Vardas243      Pavarde243              5         8         2         1         5         1         1        10         3         8
Vardas244      Pavarde244              4         4         2         7         5         7         4         8         2         6
Vardas245      Pavarde245              4         2         9         3        10         4         7         8         5         2
Vardas246      Pavarde246              1         8         8         3         2        10         5         1         7         2
Vardas247      Pavarde247              7         6         9         3         9         3         5         1         2        10
Vardas248      Pavarde248              6        10         2         8         4         7         8        10        10         8
Vardas249      Pavarde249              3         7         8        10         6         5         5         4         7         7
Vardas250      Pavarde250              2         5         9         3         8         4         4         5         7         2
Vardas251      Pavarde251              7         5         2         7         4         6         6        10         7         7
Vardas252      Pavarde252              8         9         5         2         7         5         4         2         1         5
Vardas253      Pavarde253             10         1         2         5         9        10        10         8         2         6
Vardas254      Pavarde254              1         3         6         6         3        10        10         6         4         8
Vardas255      Pavarde255              5         7         6         1         8         4         2         7         5         8
Vardas256      Pavarde256              4         8        10         3         8         7        10         6         9        10
Vardas257      Pavarde257              4         6         8         4         5         3         9         2         8         9
Vardas258      Pavarde258             10         3         5         6         3        10         8         9         4         6
Vardas259      Pavarde259              3         9         9         9         7         9         1        10         9         1
Vardas260      Pavarde260              4         4         3         7         5         6         2         1         8         8
Vardas261      Pavarde261              9         1         4         5         8         9         2         3         3         5
Vardas262      Pavarde262              1         1        10         3         2         1         6         1         8        10
Vardas263      Pavarde263              8         1         1         3         8         7         8         4         6         2
Vardas264      Pavarde264              2         4         7         8         9         3         4         7         3         9
Vardas265      Pavarde265              3         9         4         8         8         4        10         1         7         3
Vardas266      Pavarde266              1         2         7         9         4         8         3         1         2         7
Vardas267      Pavarde267              2        10         5         7         7         3         2         7         3         8
Vardas268      Pavarde268              3         3         8         7         5         5         8         9         2         4
Vardas269      Pavarde269              4         5         2         9         3         3         3         8         2         8
Vardas270      Pavarde270             10         2         5         1         1         6         8         4         6         8
Vardas271      Pavarde271             10         8         6         8         8         1         3        10         8         4
Vardas272      Pavarde272              8         1         8         1         9         9         6         9         2         6
Vardas273      Pavarde273             10         2         7         1         6         4        10        10         3         3
Vardas274      Pavarde274              6         3         6         8         3         5         1         7         5         7
Vardas275      Pavarde275              5         2         3        10         7         2         2         4        10         8
Vardas276      Pavarde276              4         4        10         8         9        10         3         1         4         6
Vardas277      Pavarde277              7         2         5         3         8         9         8         3         2        10
Vardas278      Pavarde278              3         1         7         6         1        10         8        10         2         7
Vardas279      Pavarde279              8        10         2         1         1         8         7         2         3         5
Vardas280      Pavarde280              2         9         9         5         6         9         3         2         1         8
Vardas281      Pavarde281              1         4         5         7         3         6         9         2         8         7
Vardas282      Pavarde282              6         3         8         9         2        10         3         5         9         6
Vardas283      Pavarde283              3         7         5        10         8        10         1         8         3         4
Vardas284      Pavarde284              2         8         2         8         5        10         3         5         6         1
Vardas285      Pavarde285              4         5         4         2        10         3        10         8         7         9
Vardas286      Pavarde286              6         3        10         5         4         9         2         9         5         9
Vardas287      Pavarde287             10         1         6         7         4         3         4        10         2         8
Vardas288      Pavarde288              7         4        10         1         4         8         2         1         3        10
Vardas289      Pavarde289              3         4         4         9         1         9         1         1         4         2
Vardas290      Pavarde290             10         2         1         2         4         1         1         5         6        10
Vardas291      Pavarde291              1         4         6         5         8         8        10         4         8         4
Vardas292      Pavarde292             10         6        10         1         8         5         6         4         8         3
Vardas293      Pavarde293              3         6         2         3         4         3        10         9         4         6
Vardas294      Pavarde294              3         6         9         6         7         8         5         3         8         7
Vardas295      Pavarde295              3        10        10        10         7         8         4         5         4         2
Vardas296      Pavarde296              7         4         9         1         6         8         3         6         7         3
Vardas297      Pavarde297              9         2        10        10         3         6         2         3         4         3
Vardas298      Pavarde298              2         2         4         1         5         9         8         8         4        10
Vardas299      Pavarde299             10         5        10         8         9         3         6         8         2         3
Vardas300      Pavarde300             10         3         1         6         8        10         3         5         8         4
Vardas301      Pavarde301              1         9        10         2        10         2         9         3         8         4
Vardas302      Pavarde302             10         1         5         6         3         6         6         4         1         5
Vardas303      Pavarde303              7         5         5        10        10         9         8         5         6        10
Vardas304      Pavarde304              5         5         4         8         1        10         7         3         7         3
Vardas305      Pavarde305              7         2         7         6        10         4        10         1        10         8
Vardas306      Pavarde306              8         7        10         9         8         6         2         7         8         2
Vardas307      Pavarde307              3         3         5         3         4         8         2         2         8         3
Vardas308      Pavarde308              3         7         2         8         9         2         1         7        10        10
Vardas309      Pavarde309             10         4         5         9         9         4         4        10         3         3
Vardas310      Pavarde310             10        10         2         8        10         4         5         8         7         7
Vardas311      Pavarde311              9         2         5         3        10         9         3         9         9         8
Vardas312      Pavarde312              7         7         9         3         6         5         1         8         4         5
Vardas313      Pavarde313              1         4         4         9         4         5         2         7         1         5
Vardas314      Pavarde314              1        10        10         4         1         3         1         8         1         2
Vardas315      Pavarde315              6         2         6        10         1         8         2         6         2         1
Vardas316      Pavarde316              2         6         9         8         2        10         8         5         6         6
Vardas317      Pavarde317             10         8         3         8         7         2         9         3         4         3
Vardas318      Pavarde318              4         2         2         8         8         5         1         1        10         4
Vardas319      Pavarde319              2         7         5         3         7         7         5         3         8         5
Vardas320      Pavarde320              3         6         2         5         6         2         9         5         2         4
Vardas321      Pavarde321              5         8         2         1         2         6         7         8         1         2
Vardas322      Pavarde322              5         8         7         4         8         9         2         3         4         5
Vardas323      Pavarde323              8         1         1         2         3         5         8         6        10         5
Vardas324      Pavarde324              2         3        10         3         5         3         8        10         4         1
Vardas325      Pavarde325              6         5         7         4         2         5         8         7         1         5
Vardas326      Pavarde326              8         9        10         8         2         5         6         5         3         6
Vardas327      Pavarde327              2         6         3        10         3         9         1         9         7         3
Vardas328      Pavarde328              1         3        10         3         2         9         4         4         3         8
Vardas329      Pavarde329              9         8         5         5         4         9         8         1         2         6
Vardas330      Pavarde330              9         1         4         3        10         5         6         8         5         3
Vardas331      Pavarde331              5         9         5         3         3         2         3         8         5         9
Vardas332      Pavarde332              9         4         2         6         2         5         2         4         6         8
Vardas333      Pavarde333             10         6         3         9         3         6         9         9         8         6
Vardas334      Pavarde334              3         7         9         5         8        10         5         8         4         8
Vardas335      Pavarde335              7         3         6         5         6         6         3         7         7         8
Vardas336      Pavarde336              8         2         4         1         8         6         3         7         6        10
Vardas337      Pavarde337              4         6         4        10         4         6         7         7         6         8
Vardas338      Pavarde338              7         3         1         5         8         1         7         5         3         9
Vardas339      Pavarde339              8         9         4        10         5         9         9         8         7         5
Vardas340      Pavarde340              4        10         2        10         9        10         7         7         5         6
